transaction_id,account_id,transaction_type,amount,transaction_date,description
1,115,Credit,1400.73,2021-03-21,
2,465,Debit,2245.79,2022-06-16,National oil skin good. Toward religious cost.
3,106,Credit,509.79,2020-12-14,Less how worker fear interview second blood.
4,238,Debit,459.12,2019-09-22,Thing out conference provide.
5,138,Credit,3956.75,2022-07-01,Leave traditional happy reduce brother.
6,568,Debit,1304.36,2021-03-22,Myself series black.
7,44,Debit,1735.84,2020-12-16,Key girl describe. Focus this political window.
8,732,Debit,1211.34,2021-09-23,Number five available across free agent large.
9,42,Debit,3233.75,2023-09-23,Per land rich crime event.
10,937,Credit,1369.81,2021-04-07,Site approach service sit should front nothing.
11,129,Credit,4087.48,2021-09-04,Build wife whether will write next wear.
12,511,Credit,1460.38,2019-12-03,
13,557,Credit,3262.68,2024-01-10,Worker night want. From cultural station notice.
14,260,Credit,1441.78,2020-11-29,Yeah sign discuss think attorney realize.
15,339,Credit,420.41,2020-06-28,
16,852,Debit,4511.86,2019-10-16,Financial fire word.
17,379,Debit,2343.38,2023-02-14,Campaign individual live article hope.
18,930,Debit,1062.02,2024-07-24,Somebody draw bad produce last address.
19,470,Credit,2434.14,2021-08-20,
20,176,Credit,903.69,2023-12-07,Stage two study message military.
21,690,Credit,2521.43,2021-04-12,
22,147,Debit,384.44,2020-03-17,Sort front box push.
23,856,Debit,3360.16,2019-12-28,General bit under believe six could.
24,908,Debit,2757.83,2021-12-11,
25,71,Credit,820.34,2022-07-13,
26,522,Credit,229.55,2021-12-21,
27,564,Credit,4544.99,2023-02-23,
28,904,Credit,3983.78,2024-01-08,
29,843,Credit,348.55,2022-01-05,Fall goal pretty will peace.
30,558,Credit,1430.34,2022-09-17,
31,881,Credit,1846.84,2021-01-16,Main soon control general turn.
32,530,Debit,3863.63,2023-08-11,Debate risk early structure think.
33,727,Debit,3480.9,2020-09-30,Hair capital instead in. Data fine very realize.
34,760,Credit,3515.21,2022-05-05,Group impact mean former democratic event.
35,25,Debit,217.08,2022-08-11,That miss like.
36,946,Debit,789.43,2020-04-05,
37,685,Credit,243.84,2022-01-06,
38,346,Debit,1601.93,2024-05-29,
39,991,Credit,1041.39,2019-09-28,Budget arm under focus.
40,561,Credit,1409.77,2020-03-25,Option machine left.
41,534,Debit,,,Detail measure rate state short before possible.
42,804,Debit,331.34,2020-04-14,Animal plant one man today available.
43,243,Debit,2414.57,2021-05-08,Ago author business two heavy.
44,310,Debit,1330.29,2022-06-06,
45,885,Debit,1626.44,2020-09-01,Yet thank seem part personal artist.
46,344,Debit,2363.52,2023-04-12,Idea property seem.
47,867,Credit,4371.95,2022-12-22,
48,388,Debit,68.17,2020-02-23,Cultural themselves continue later.
49,241,Credit,1853.5,2023-11-21,Care health north that laugh.
50,990,Credit,469.85,2020-09-11,Field everyone former.
51,350,Credit,772.82,2024-02-16,Offer concern good safe I business.
52,407,Credit,1598.75,2023-06-21,Throughout but side.
53,240,Debit,4048.17,2020-12-13,Call answer statement free beautiful minute room.
54,714,Debit,2986.75,2022-08-12,Government cover down really in place ground.
55,472,Credit,2435.04,,West develop structure.
56,394,Credit,1661.27,2019-10-04,Successful ago either know.
57,924,Debit,1289.04,2020-06-04,
58,874,Credit,2212.83,2021-07-16,Friend me other beat group increase well.
59,489,Credit,4594.81,2019-11-10,Drop discover me across woman.
60,898,Debit,1376.04,2023-02-21,Firm degree those rule green whom four.
61,213,Credit,4850.88,2022-02-07,Perform against discover after go full.
62,542,Debit,709.33,2022-08-26,
63,365,Debit,3601.55,2021-10-10,
64,268,Debit,4747.9,2019-10-01,
65,326,Credit,2011.8,2023-09-13,Already understand behavior see remain answer.
66,242,Debit,,2022-04-17,Hospital direction special main law.
67,746,Debit,2508.47,2021-01-20,
68,228,Credit,169.47,2021-05-20,Feeling mention those beat father leg fall.
69,479,Credit,4535.53,2021-05-29,Happy college food. Positive later trip claim.
70,644,Debit,1604.54,2020-05-18,Hold blood expect truth dark fund tree.
71,940,Debit,3418.78,2022-03-07,Own whom think save.
72,497,Debit,1139.47,2020-09-28,Raise Mrs guy street moment join film.
73,947,Debit,4310.71,2023-11-06,Score step green above education area.
74,763,Debit,2729.52,2020-01-18,So write shake science.
75,231,Debit,,2024-06-19,This Mrs source. Change particularly court.
76,900,Credit,4689.64,2020-03-31,Mr girl example fall against back.
77,996,Debit,537.11,2020-02-22,
78,942,Credit,58.17,2019-12-15,Sound couple else unit likely ever.
79,951,Credit,2842.37,2020-06-01,Suddenly should nor adult better.
80,380,Credit,,2021-04-20,Them shake drug try through.
81,297,Debit,1652.32,2022-09-24,Enjoy product huge trade fill short hour leader.
82,686,Credit,1793.92,2021-07-09,Him name religious could order.
83,279,Credit,3703.78,2020-05-06,Image certain their father keep great accept.
84,726,Debit,2088.97,2021-09-07,Physical let consumer all.
85,911,Credit,1911.3,,
86,271,Debit,4383.63,2022-01-03,
87,401,Credit,101.62,2022-02-21,Player person range difference film oil writer.
88,680,Debit,4378.56,2020-10-25,Administration senior key. He beat her nothing.
89,110,Debit,2884.42,2024-03-23,Itself activity reflect industry idea offer well.
90,138,Debit,30.69,2021-02-27,
91,703,Credit,1690.24,2022-10-10,
92,726,Debit,1737.21,2022-04-02,Win high fight war.
93,84,Credit,,2021-09-30,Deep according as air particularly.
94,870,Credit,2473.92,2021-01-14,Market modern way make sea.
95,495,Debit,719.83,2023-06-30,
96,590,Debit,1697.42,2020-04-21,Item cultural listen suffer.
97,615,Credit,392.11,2022-08-11,One citizen loss southern memory long.
98,380,Credit,1019.84,2020-03-02,Effect appear clear line agency candidate.
99,171,Debit,726.17,2022-04-11,I common responsibility receive action.
100,673,Debit,3020.49,2022-08-01,Score purpose natural technology fish audience.
101,688,Debit,696.46,2021-08-03,Late particularly husband real woman.
102,550,Debit,2592.06,2021-07-19,Around while base partner office.
103,52,Credit,2282.27,2024-08-28,
104,80,Credit,3657.25,2021-04-13,Home recent father huge fine.
105,423,Debit,3209.42,2023-07-20,Hour spring war wall why get box.
106,274,Credit,2240.27,2022-08-24,Education home prove nation end recently.
107,923,Credit,1778.64,2020-12-12,Fall already away short leave.
108,322,Debit,631.04,2024-05-19,
109,146,Credit,875.67,2023-02-11,Item message third all around school.
110,59,Credit,,2022-04-24,Will need physical away.
111,713,Credit,3833.2,2021-07-29,Approach protect set.
112,759,Credit,3463.63,2021-03-04,Fly practice return.
113,651,Debit,2955.51,2021-01-30,Party know trade effect no toward economy.
114,155,Debit,2447.54,2023-12-20,Tv artist end themselves.
115,909,Credit,3885.44,2023-12-07,
116,437,Credit,1791.97,2020-09-15,
117,884,Credit,2609.0,2019-09-28,
118,908,Credit,,2021-03-31,Small story admit appear moment.
119,419,Credit,1248.31,2021-06-23,
120,512,Credit,,2024-01-28,One add receive yet fast.
121,419,Debit,4288.86,2021-09-11,
122,885,Credit,528.29,2024-07-14,Approach because day bad rise current.
123,557,Debit,1058.08,2021-08-31,Democrat but keep care.
124,592,Debit,1506.97,2024-07-31,Have wife week. He his science most example film.
125,798,Credit,1472.56,2020-07-26,Near food marriage major meet term.
126,593,Debit,1417.69,2024-04-14,Age edge lead deal.
127,528,Credit,1307.53,2022-04-30,Class right lose everybody impact water.
128,228,Debit,4861.15,2020-09-29,Cost top interesting then hot so.
129,930,Credit,3219.85,2022-11-22,Heavy force play past.
130,909,Debit,2936.72,2019-12-26,Baby different someone one. Local activity away.
131,541,Credit,1039.07,2021-02-08,Dog only in toward wish partner yard.
132,511,Credit,3964.43,2021-09-01,Rather ten them hotel have send.
133,519,Credit,4325.4,2024-02-25,
134,50,Debit,3479.86,2023-05-20,
135,365,Debit,4435.77,2023-02-19,Never in administration fine.
136,209,Debit,1478.35,2020-03-27,Put yard east question receive explain police.
137,44,Debit,4056.72,2023-12-08,Seem thought create drive tree work consumer put.
138,224,Debit,,,
139,518,Debit,1175.58,2024-07-14,Plan reflect smile college tonight.
140,414,Debit,3642.73,2023-01-31,Care keep white approach huge decide.
141,100,Credit,2039.82,2024-07-22,Guy focus research necessary Mrs.
142,390,Debit,2387.76,2024-09-16,Who keep section our.
143,351,Credit,2560.08,2020-04-16,Change oil last.
144,588,Credit,3469.76,2023-06-01,
145,78,Credit,669.81,2022-05-19,Though drive resource some.
